Time,Close,Volume,Open,High,Low
2013.2.1,265,6112456,268.93,268.93,262.8
2013.1.31,265.5,6769474,271.04,275.94,263.7
2013.1.30,272.76,13062990,283,284.2,267.11
2013.1.29,260.35,9831883,275.35,275.46,258.35
2013.1.28,276.04,4317763,283.78,284.48,274.4
2013.1.25,283.99,4957365,275,284.72,274.4
2013.1.24,273.62,3411246,269.37,276.65,269.37
2013.1.23,268.11,2498471,270.57,271.09,266.65
2013.1.22,270.19,2135542,271.62,272.1,269.23
2013.1.18,272.12,2940348,270.83,274.5,269.6
2013.1.17,270.48,1883293,271.5,271.97,269.21
2013.1.16,268.93,2062629,270.53,271.24,267.83
2013.1.15,271.9,2326204,270.68,272.73,269.3
2013.1.14,272.73,4260740,268,274.26,267.54
2013.1.11,267.94,2413064,265.1,268.43,264.11
2013.1.10,265.34,2863098,268.54,268.74,262.3
2013.1.9,266.35,2262402,268.17,269.5,265.4
2013.1.8,266.38,3008773,267.07,268.98,263.57
2013.1.7,268.46,4909389,262.97,269.73,262.67
2013.1.4,259.15,1874011,257.58,259.8,256.65
2013.1.3,258.48,2750470,257.27,260.88,256.37
2013.1.2,257.31,3270560,256.08,258.1,253.26
2012.12.31,250.87,3418645,243.75,252.41,242.75
2012.12.28,245.18,1856145,245.85,247.44,245.05
2012.12.27,248.31,3638544,248.28,249.35,242.86
2012.12.26,248.63,4150607,257.15,257.42,248.04
2012.12.24,258.62,986435,257.3,259.5,256.96
2012.12.21,256.92,4702802,257.82,258.38,255.74
2012.12.20,261.5,2544960,258.36,262.41,256.54
2012.12.19,257.99,2299965,261.3,261.67,257.68
2012.12.18,260.4,4960511,254.57,263.11,254.57
2012.12.17,253.86,2276362,249.81,254,249.26
2012.12.14,249.19,2526888,250.11,251.9,247.79
2012.12.13,251.25,2458812,251.11,254.54,250.02
2012.12.12,251.76,2627923,251.07,254.36,250.06
2012.12.11,250.69,4184143,248.5,253.48,246.65
2012.12.10,247.77,3502674,253.1,254.78,247.3
2012.12.7,253.27,2168034,254.14,255.21,252.01
2012.12.6,253.37,3557422,253,255.17,251.51
2012.12.5,253.96,2850124,252.44,255.55,250.38
2012.12.4,252.49,3106174,249.94,253,248.66
2012.12.3,250.33,2986413,252.54,254.16,250
2012.11.30,252.05,3797316,250.38,252.65,248.27
2012.11.29,251.27,5302207,248.05,252.48,247.5
2012.11.28,247.11,2743396,242.45,247.23,241.5
2012.11.27,243.4,3048476,243.22,245.67,241.54
2012.11.26,243.62,4170560,240.39,244.32,238
2012.11.23,239.88,1776744,239.89,240,236.48
2012.11.21,238.03,2956963,233.84,238.67,232.75
2012.11.20,233.78,2770601,230,233.82,229.5
2012.11.19,229.71,3590226,228.32,232.5,227.45
2012.11.16,225.23,4352150,221.31,226.25,218.64
2012.11.15,220.6,3404272,222.3,225.16,218.18
2012.11.14,222.95,3033730,226.5,227.41,222.51
2012.11.13,226.6,2629032,225.12,227.9,224.71
2012.11.12,226.47,2128605,226.59,229.22,225.41
2012.11.9,226.31,3091957,226.26,230.97,224.6
2012.11.8,227.35,2981067,232.22,233.45,227.1
2012.11.7,232.06,3624145,235.65,235.66,229.42
2012.11.6,237.56,2661279,235.41,237.75,234.45
2012.11.5,234.33,1845871,232.04,234.83,230.11
2012.11.2,232.42,3374447,234.01,237.4,232.11
2012.11.1,232.14,3902669,234.23,234.55,231.34
2012.10.31,232.89,4797436,236.32,238.7,230.5
2012.10.26,238.24,9999999,228.6,238.71,226.69
2012.10.25,222.92,6628284,230.92,230.92,222.92
2012.10.24,228.49,3677248,235.88,235.94,227.95
2012.10.23,234.31,4430513,231.05,236.5,230.01
2012.10.22,233.78,4499738,238.81,238.95,232.32
2012.10.19,240,4394082,245.16,246.82,238.94
2012.10.18,244.85,5304851,247.77,250.91,242.7
2012.10.17,247.49,3302418,243.37,248.8,243.3
2012.10.16,243.94,2203438,244.87,245.77,242.08
2012.10.15,244.18,2959601,242.85,244.78,238.51
2012.10.12,242.36,2203001,243.18,245.46,241.91
2012.10.11,244.22,3447282,248,249.3,241.89
2012.10.10,244.99,3945652,252,252.46,244.01
2012.10.9,250.96,3494556,258.67,259.35,250.73
2012.10.8,259.06,1761384,257.67,259.8,255.56
2012.10.5,258.51,2806462,261.2,261.9,257.49
2012.10.4,260.47,2710352,256.01,261.52,255.87
2012.10.3,255.92,2744311,251.21,256.1,249.56
2012.10.2,250.6,2168209,252.8,253.15,249.03
2012.10.1,252.01,2581202,255.4,256.16,250.49
2012.9.28,254.32,2455510,256.14,257,253.2
2012.9.27,256.59,3390611,250.54,257.4,250.52
2012.9.26,249.67,2919761,252.4,254.61,248.23
2012.9.25,252.46,4404160,256.33,258.95,251.03
2012.9.24,254.81,2704946,255.22,255.6,253
2012.9.21,257.47,6055714,261.74,262,256.74
2012.9.20,260.81,2912819,260.03,260.87,258
2012.9.19,261.68,2636414,259.45,262.84,258.53
2012.9.18,258.75,2213652,258.48,260.5,257
2012.9.17,258,2306015,261.25,261.25,257
2012.9.14,261.27,3666093,261.4,264.11,259.77
2012.9.13,260.24,3525455,254.94,262,253.8
2012.9.12,255.63,2272915,256.5,257.78,253.5
2012.9.11,255.67,2523473,257.6,257.6,254.26
2012.9.10,257.09,2567021,259,260,256.82
2012.9.7,259.14,5028340,253.85,259.42,253.52
2012.9.6,251.38,5360206,248.23,252.7,247.2
2012.9.5,246.22,2652016,247.61,248.61,245.3
2012.9.4,247.88,3945578,248.27,251,244.66
2012.8.31,248.27,3346917,248.07,249.45,245.5
2012.8.30,246.22,3647476,246.99,250,245.25
2012.8.29,247.12,1772104,246.78,247.61,244.59
2012.8.28,246.11,2741432,243.97,246.78,243
2012.8.27,243.92,2929130,245.79,247.5,243.12
